 * Serving Flask app "run" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: on
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 204-796-878
116.230.176.98 - - [28/Jun/2019 22:45:35] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:36] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:40] "GET /?nsukey=Fxzz7Wdxmn3sSm7mmqGWy3eqbcp92EExq7kLFG1AODIQb%2Fq3L9rwcNIvejptEaQfz23JChObVXkhqKxpPLwEqwqlm56CIf75WA%2BRpuIkbXLClz%2BngGf7GYK39Q9xPfKBTZAgVsZr%2FE4PV%2FeLkGbqQFw9MAoVTP6JCBomAKuem2eCDqYODhIoTARYauhf%2BuD4iVg3WiNCkEocmZu3A%2FYQ9g%3D%3D HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:40] "GET /static/assets/css/bootstrap.min.css HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:40] "GET /static/assets/css/jquery.lineProgressbar.css HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:40] "GET /static/assets/css/owl.carousel.css HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:40] "GET /static/assets/css/slicknav.min.css HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:40] "GET /static/assets/css/animate.css HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:40] "GET /static/assets/css/style.css HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:40] "GET /static/assets/css/font-awesome.min.css HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:40] "GET /static/assets/css/magnific-popup.css HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:41] "GET /static/assets/css/responsive.css HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:41] "GET /static/assets/js/jquery.js HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:41] "GET /static/assets/js/typed.js HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:41] "GET /static/assets/js/bootstrap.min.js HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:41] "GET /static/assets/js/circle-progress.min.js HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:41] "GET /static/assets/js/waypoints.min.js HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:41] "GET /static/assets/js/jquery.slicknav.min.js HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:41] "GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:41] "GET /static/assets/js/scrollspy.js HTTP/1.1" 200 -
116.230.176.98 - - [28/Jun/2019 22:45:41] "GET /static/assets/js/main.js HTTP/1.1" 200 -
